source,day_label,lect_num,type,reference,csv_incipit,derived_incipit,db_first_verse,rendered_first_line,problems,recommendation
standard,Advent/Dec 17-24/December 17/I/II,193,first_reading,"Gen 49:2, 8-10","In the beginning: 1. Jacob called his sons, and said:","In the beginning,","Assemble and hear, O sons of Jacob, and hearken to Israel your father.","In the beginning: Jacob called his sons, and said:",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 17/I/II,193,gospel,Matt 1:1-17,"At that time: 1. An account of the genealogy of Jesus the Messiah,","At that time,","THE book of the genealogy of Jesus Christ, the son of David, the son of Abraham.","At that time, An account of the genealogy of Jesus the Messiah,",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 18/I/II,194,first_reading,Jer 23:5-8,"Thus says the LORD: 5. "The days are surely coming," says the Lord,",Thus says the LORD:,"""Behold, the days are coming, says the LORD, when I will raise up for  David a righteous Branch, and he shall reign as king and deal wisely,  and shall execute justice and righteousness in the land.","Thus says the LORD: "The days are surely coming," says the Lord,",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 18/I/II,194,gospel,Matt 1:18-24,At that time: 18. The birth of Jesus the Messiah took place in this way.,"At that time,","Now the birth of Jesus Christ  took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child of the Holy Spirit;","At that time, The birth of Jesus the Messiah took place in this way.",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 19/I/II,195,first_reading,"Judges 13:2-7, 24-25a","There was a certain man of Zorah, of the tribe of Dan,",,"And there was a certain man of Zorah, of the tribe of the Danites, whose name was Manoah; and his wife was barren and had no children.","2. There was a certain man of Zorah, of the tribe of Dan,",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 19/I/II,195,gospel,Luke 1:5-25,"In those days: 5. In the days of King Herod of Judea,","In those days,","In the days of Herod, king of Judea, there was a priest named Zechariah,  of the division of Abijah; and he had a wife of the daughters of Aaron, and her name was Elizabeth.","5. In the days of Herod, king of Judea, there was a priest named Zechariah,  of the division of Abijah; and he name was Elizabeth.",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 20/I/II,196,first_reading,Isa 7:10-14; 8.10d,"Thus says the LORD: 10. The Lord spoke to Isaiah and said,",Thus says the LORD:,"Again the LORD spoke to Ahaz","Thus says the LORD: The Lord spoke to Isaiah and said,",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 20/I/II,196,gospel,Luke 1:26-38,In those days: 26. In the sixth month the angel Gabriel was sent by God,"In those days,","In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth","26. In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 21/I/II,197,first_reading,Zeph 3:14-18a,"Thus says the LORD: 14. Sing aloud, O daughter Zion;",Thus says the LORD:,"Sing aloud, O daughter of Zion; shout, O Israel! Rejoice and exult with all your heart, O daughter of Jerusalem!","Thus says the LORD: Sing aloud, O daughter Zion;",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 21/I/II,197,gospel,Luke 1:39-45,In those days: 39. Mary set out and went with haste,"In those days,","In those days Mary arose and went with haste into the hill country, to a city of Judah","39. In those days Mary arose and went with haste into the hill country, to a city of Judah,",verse_number_in_rendered,AUTO: Remove verse number from rendered first line
standard,Advent/Dec 17-24/December 22/I/II,198,gospel,my Savior.,,,[PARSE_ERROR],Reading text unavailable for my Savior.,text_unavailable,MANUAL: Check reference parsing for "my Savior"
standard,Advent/Dec 17-24/December 23/I/II,199,gospel,Luke 1:57-66,"In those days: 1. The time came for Elizabeth to give birth,","In those days,","Now the time came for Elizabeth to be delivered, and she gave birth to a son","57. Now the time came for Elizabeth to be delivered, and she gave birth to a son",raw_verse_conjunction:now; verse_number_in_rendered,AUTO: Remove verse number and handle conjunction
